issue_number,turn_count,reassignment_count,reopen_count,resolution_success,sla_breach_flag,sla_remaining_norm,sla_limit_hours,frustration_score,interaction_depth,first_response_time_hours
301547,6,2,0,0,0,0.0004,72.0,0.0764,6,0.07
301541,2,1,0,0,0,0.9549,72.0,0.0318,2,0.02
301530,1,0,0,0,0,0.9992,24.0,0.0064,1,0.07
301521,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
301518,4,2,0,0,0,0.8831,48.0,0.0637,6,1.16
301515,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
301508,5,3,0,1,1,0.0,48.0,0.0892,8,2.77
301506,2,1,0,1,1,0.0,72.0,0.0318,3,1.35
301498,4,1,0,1,0,0.9253,72.0,0.0446,3,0.01
301491,3,4,0,0,1,0.0,48.0,0.0955,6,2.64
301464,1,0,0,0,0,0.9992,24.0,0.0064,1,0.05
301458,58,3,0,1,1,0.0,48.0,0.4268,48,3.08
301451,2,0,0,0,0,0.9999,72.0,0.0127,1,0.01
301440,4,2,0,0,1,0.0,72.0,0.0637,6,0.38
301428,2,1,0,0,0,0.8864,72.0,0.0318,3,8.18
301426,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301421,2,1,0,1,0,0.906,72.0,0.0318,3,0.08
301405,10,1,0,1,1,0.0,72.0,0.0828,9,0.05
301403,13,1,0,1,1,0.0,72.0,0.1019,13,0.75
301395,4,2,0,0,1,0.0,72.0,0.0637,6,0.77
301394,3,1,0,0,1,0.0,72.0,0.0382,4,0.05
301391,2,1,0,1,0,0.6208,72.0,0.0318,3,20.34
301377,2,1,0,0,0,0.475,72.0,0.0318,3,0.06
301352,1,1,0,0,1,0.0,24.0,0.0255,2,87.93
301324,3,1,0,1,0,0.7736,72.0,0.0382,3,16.3
301318,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
301314,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
301305,2,2,0,1,0,0.9769,48.0,0.051,3,0.02
301301,3,3,0,0,1,0.0,72.0,0.0764,6,81.09
301299,1,0,0,0,0,0.9997,72.0,0.0064,1,0.03
301296,3,1,0,0,1,0.0,48.0,0.0382,3,0.18
301272,1,0,0,1,0,0.9996,72.0,0.0064,1,0.25
301269,2,1,0,0,0,0.9896,72.0,0.0318,3,0.05
301244,6,1,0,1,1,0.0,24.0,0.0573,6,4.02
301243,2,0,0,0,0,0.999,72.0,0.0127,1,0.01
301234,2,2,0,0,1,0.0,72.0,0.051,4,84.25
301169,2,2,0,0,0,0.6261,72.0,0.051,4,2.19
301144,1,1,0,0,0,0.9829,24.0,0.0255,2,0.41
301131,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
301130,1,0,0,1,0,0.9996,72.0,0.0064,1,0.33
301121,1,2,0,0,0,0.47,48.0,0.0446,3,0.0
301116,2,1,0,0,1,0.0,72.0,0.0318,3,0.41
301110,2,3,0,0,1,0.0,72.0,0.0701,5,2.25
301107,2,1,0,0,0,0.741,72.0,0.0318,3,0.97
301094,1,1,0,1,0,0.9724,72.0,0.0255,2,1.99
301092,4,2,0,1,0,0.4325,48.0,0.0637,6,7.57
301084,1,1,0,0,0,0.46,72.0,0.0255,2,38.86
301080,1,0,0,0,1,0.0,24.0,0.0064,1,0.27
301079,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301077,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301070,1,0,0,0,1,0.0,24.0,0.0064,1,1.26
301064,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301060,12,4,0,1,1,0.0,48.0,0.1529,12,0.01
301058,0,1,0,0,1,0.0,24.0,0.0191,1,-1.0
301052,3,2,0,0,0,0.8917,72.0,0.0573,4,0.01
301047,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301038,1,0,0,0,1,0.0,24.0,0.0064,1,12.64
301032,5,1,0,1,0,0.7529,72.0,0.051,6,0.4
301030,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301027,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301025,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301013,3,2,0,0,1,0.0,48.0,0.0573,4,0.41
301011,151,2,0,1,1,0.0,48.0,1.0,89,0.35
301002,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301001,5,1,0,0,1,0.0,72.0,0.051,6,0.74
300996,2,1,0,1,1,0.0,24.0,0.0318,3,128.71
300990,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300985,6,1,0,0,1,0.0,72.0,0.0573,6,0.53
300984,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300982,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300975,1,1,0,0,1,0.0,24.0,0.0255,2,17.83
300974,3,1,0,0,1,0.0,72.0,0.0382,3,107.8
300972,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300971,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300970,4,0,0,0,0,0.9994,72.0,0.0255,2,0.21
300968,1,1,0,0,1,0.0,24.0,0.0255,2,40.81
300960,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300959,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300947,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300941,2,1,0,0,0,0.4467,72.0,0.0318,3,116.48
300937,2,3,0,0,1,0.0,72.0,0.0701,5,0.83
300930,5,1,0,1,1,0.0,24.0,0.051,5,9.77
300928,1,0,0,0,0,0.9996,72.0,0.0064,1,0.01
300922,3,1,0,0,0,0.9922,72.0,0.0382,3,0.02
300919,3,4,0,1,1,0.0,48.0,0.0955,7,11.1
300918,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300911,1,1,0,0,1,0.0,72.0,0.0255,2,1.78
300892,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300888,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300876,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300875,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300867,1,1,0,0,1,0.0,72.0,0.0255,2,172.22
300866,6,2,0,0,1,0.0,72.0,0.0764,6,37.36
300859,0,1,0,0,0,0.9999,72.0,0.0191,1,-1.0
300856,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300853,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300842,3,2,0,1,1,0.0,72.0,0.0573,4,119.09
300833,6,2,0,1,0,0.3015,48.0,0.0764,5,33.53
300829,1,0,0,0,0,0.9996,24.0,0.0064,1,0.01
300814,1,2,0,0,1,0.0,72.0,0.0446,3,1.32
300806,1,3,0,0,0,0.861,72.0,0.0637,4,10.01
300802,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300801,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300800,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300798,2,1,0,1,0,0.9981,72.0,0.0318,3,0.06
300792,0,1,0,0,0,0.6333,24.0,0.0191,1,-1.0
300789,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
300786,0,0,0,0,0,0.9988,24.0,0.0,0,-1.0
300785,0,0,0,0,0,0.9988,24.0,0.0,0,-1.0
300783,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300782,1,1,0,0,1,0.0,72.0,0.0255,2,3.43
300777,0,1,0,0,1,0.0,24.0,0.0191,1,-1.0
300774,1,0,0,0,1,0.0,24.0,0.0064,1,4.6
300768,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300766,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300761,61,1,0,1,1,0.0,72.0,0.4076,54,14.5
300757,3,1,0,0,0,0.9812,72.0,0.0382,3,0.12
300756,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300755,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300747,1,1,0,0,1,0.0,72.0,0.0255,2,0.12
300742,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300733,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300732,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
300728,1,0,0,0,0,0.9996,72.0,0.0064,1,0.08
300726,1,0,0,0,1,0.0,24.0,0.0064,1,0.01
300725,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300723,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300719,0,1,0,0,1,0.0,72.0,0.0191,1,-1.0
300715,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300706,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300699,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300695,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300694,1,2,0,0,0,0.874,72.0,0.0446,3,9.07
300693,2,0,0,1,0,0.9997,72.0,0.0127,1,0.17
300692,3,1,0,0,1,0.0,72.0,0.0382,4,52.98
