issue_number,total_events,reopen_count,unique_actors,reassignment_count,first_assignee,sla_breach_flag,all_labels_seen
301961,3,0,1,1,sandy081,0,*duplicate
301979,4,0,1,0,,0,~chat-billing|chat-billing
301980,4,0,1,0,,0,~chat-billing|chat-billing
301981,9,0,4,2,dmitrivMS,0,important|bug|install-update|unreleased|insiders-released
301985,3,0,2,1,lramos15,0,info-needed
301988,3,0,1,1,sandy081,0,*duplicate
301989,4,0,1,0,,0,~chat-billing|chat-billing
301993,5,0,3,1,lramos15,0,chat-ext-issue|info-needed
302005,3,0,2,1,lramos15,0,triage-needed
302014,6,0,2,1,anthonykim1,0,bug|info-needed|terminal-links|copilot
302049,7,0,4,2,roblourens,0,chat-ext-issue|*duplicate
302054,7,0,3,1,dmitrivMS,0,bug|install-update|unreleased|insiders-released
302062,9,0,3,3,lramos15,0,bug|important|inline-chat
302069,6,0,4,2,lramos15,0,chat-ext-issue
302096,5,0,3,2,mjbvz,0,info-needed
302097,5,0,2,0,,0,~info-needed|triage-needed|info-needed
302130,4,0,1,0,,0,ai-translated|~chat-request-failed
302137,6,0,4,2,dileepyavan,0,triage-needed
302174,7,0,2,0,,0,chat-ext-issue|~info-needed|triage-needed|info-needed
302229,3,0,1,1,pwang347,0,bug
302239,7,0,4,3,justschen,0,*as-designed
302240,3,0,1,0,,0,~chat-lm-unavailable
302242,3,0,1,0,,0,~chat-request-failed
302279,11,0,5,3,bpasero,0,chat-agents-view|bug|unreleased|insiders-released|verified
302281,5,0,2,1,joshspicer,0,unreleased|insiders-released
302286,6,0,2,0,,0,ai-translated|~info-needed|triage-needed|info-needed
302293,6,0,2,0,,0,~info-needed|triage-needed|info-needed
302306,4,0,1,0,,0,~chat-billing|chat-billing
302337,4,0,1,1,benibenj,0,bug|chat
302345,3,0,1,1,lramos15,0,*not-reproducible
302365,4,0,1,0,,0,~spam|spam
302405,7,0,4,2,justschen,0,chat-ext-issue|*duplicate
302438,3,0,1,0,,0,~chat-rate-limiting
302439,4,0,1,0,,0,~spam|spam
302443,4,0,1,0,,0,~chat-billing|chat-billing
302452,6,0,4,3,lramos15,0,info-needed
302465,3,0,1,0,,0,~chat-rate-limiting
302467,5,0,2,0,,0,chat-ext-issue|~chat-rate-limiting
302471,3,0,1,0,,0,~chat-rate-limiting
302475,6,0,3,1,lramos15,0,chat-ext-issue|bug|model-byok
302477,4,0,2,1,lramos15,0,bug|candidate
302499,9,0,2,1,meganrogge,0,info-needed|bug|chat-terminal-output-monitor|unreleased|insiders-released
302501,5,0,3,2,bhavyaus,0,*duplicate
302502,13,2,2,1,lramos15,0,info-needed|bug|claude|model-picker|claude-agent
302504,8,0,2,0,,0,~info-needed|triage-needed|info-needed|*duplicate
302524,10,0,2,3,meganrogge,0,terminal-input|bug|*duplicate|terminal-shell-fish
302525,4,0,1,0,,0,ai-translated|~chat-request-failed
302559,3,0,1,0,,0,~chat-request-failed
302560,3,0,1,0,,0,~chat-request-failed
302561,3,0,1,0,,0,~chat-request-failed
302565,4,0,2,1,mjbvz,0,~chat-request-failed
302570,9,0,4,2,chrmarti,0,chat-ext-issue|triage-needed|*duplicate
302578,5,0,2,0,,0,~info-needed|triage-needed|info-needed
302581,8,0,4,3,dileepyavan,0,triage-needed
302585,2,0,2,1,chrmarti,0,
302590,5,1,1,1,mjbvz,0,engineering
302597,9,0,4,2,jruales,0,chat-ext-issue|triage-needed|bug
302598,4,0,2,2,sandy081,0,
302600,5,0,2,0,,0,~info-needed|triage-needed|info-needed
302613,4,0,3,2,meganrogge,0,*duplicate
302614,3,0,1,0,,0,~chat-no-response-returned
302642,2,0,1,1,lramos15,0,
302649,3,0,1,0,,0,~chat-rate-limiting
302657,3,0,1,0,,0,~chat-rate-limiting
302660,2,0,1,1,benibenj,0,
302668,2,0,1,1,benibenj,0,
302669,5,0,2,1,benibenj,0,unreleased|insiders-released
302675,4,0,1,0,,0,ai-translated|~chat-rate-limiting
302694,4,0,1,0,,0,ai-translated|~chat-rate-limiting
302705,3,0,1,0,,0,~chat-rate-limiting
302707,8,0,4,3,lramos15,0,triage-needed|*question
302709,3,0,3,1,deepak1556,0,triage-needed
302715,3,0,1,0,,0,~chat-rate-limiting
302717,4,0,2,1,justschen,0,triage-needed|*duplicate
302723,4,0,1,0,,0,~chat-billing|chat-billing
302725,3,0,1,0,,0,~chat-request-failed
302735,5,0,2,0,,0,~info-needed|triage-needed|info-needed
302786,4,0,1,0,,0,ai-translated|~chat-rate-limiting
302789,2,0,1,0,,0,duplicate
302805,6,0,2,1,Giuspepe,0,triage-needed|~chat-billing|chat-billing
302822,4,0,2,1,aiday-mar,0,triage-needed|duplicate
302826,3,0,2,1,isidorn,0,duplicate
302827,4,0,2,1,connor4312,0,triage-needed|duplicate
302828,4,0,2,1,meganrogge,0,triage-needed|duplicate
302833,4,0,2,1,ulugbekna,0,triage-needed|duplicate
302837,3,0,1,0,,0,~chat-rate-limiting
302841,2,0,1,0,,0,duplicate
302842,2,0,1,0,,0,duplicate
302843,2,0,1,0,,0,duplicate
302844,4,0,2,1,hediet,0,triage-needed|duplicate
302845,4,0,2,1,lostintangent,0,triage-needed|duplicate
302849,2,0,1,0,,0,duplicate
302850,2,0,1,0,,0,duplicate
302856,2,0,1,0,,0,duplicate
302857,2,0,1,0,,0,duplicate
302858,2,0,1,0,,0,duplicate
302859,2,0,1,0,,0,duplicate
302861,2,0,1,0,,0,duplicate
302864,3,0,1,0,,0,ai-translated|duplicate
302867,2,0,1,0,,0,duplicate
302868,2,0,1,0,,0,duplicate
302871,2,0,1,1,lramos15,0,
302874,2,0,1,0,,0,duplicate
302879,4,0,2,1,sandy081,0,error-list|*duplicate
302882,2,0,1,0,,0,duplicate
302886,2,0,1,0,,0,duplicate
302889,9,0,2,1,dmitrivMS,0,triage-needed|~info-needed|info-needed|duplicate
302894,4,0,2,0,,0,chat-ext-issue|duplicate
302896,3,0,1,0,,0,duplicate|new release
302899,3,0,1,0,,0,ai-translated|duplicate
302918,3,0,1,0,,0,~chat-request-failed
302919,3,0,1,0,,0,~chat-request-failed
302921,2,0,1,0,,0,duplicate
302922,2,0,1,0,,0,duplicate
302924,2,0,1,0,,0,duplicate
302925,2,0,1,0,,0,duplicate
302928,2,0,1,0,,0,duplicate
302945,3,0,1,0,,0,~chat-request-failed
302954,2,0,1,0,,0,duplicate
302956,2,0,1,0,,0,duplicate
302957,2,0,1,0,,0,duplicate
302992,5,0,2,0,,0,chat-ext-issue|~chat-request-failed
302993,8,0,3,2,bpasero,0,bug|chat-agents-window|unreleased|insiders-released
303006,2,0,1,0,,0,duplicate
303023,2,0,1,0,,0,duplicate
303025,6,0,2,0,,0,~info-needed|triage-needed|new release|info-needed
303065,3,0,1,0,,0,~chat-request-failed
303071,2,0,1,0,,0,duplicate
303072,2,0,1,0,,0,duplicate
303078,2,0,1,0,,0,duplicate
303079,2,0,1,0,,0,duplicate
303086,4,0,1,0,,0,ai-translated|duplicate|new release
303087,4,0,1,0,,0,ai-translated|duplicate|new release
303090,3,0,1,0,,0,~chat-request-failed
303095,4,0,1,0,,0,ai-translated|duplicate|new release
303105,2,0,1,0,,0,duplicate
303108,2,0,1,0,,0,duplicate
303122,2,0,1,0,,0,duplicate
303124,2,0,1,0,,0,duplicate
303125,2,0,1,0,,0,duplicate
303131,2,0,1,0,,0,duplicate
303132,2,0,1,0,,0,duplicate
303140,2,0,1,1,alexr00,0,
303141,4,0,1,0,,0,~chat-billing|chat-billing
303154,5,0,1,0,,0,~spam|spam|invalid
303162,3,0,2,0,,0,duplicate
303165,2,0,1,0,,0,duplicate
303166,2,0,1,0,,0,duplicate
303167,2,0,1,0,,0,duplicate
303177,6,0,2,0,,0,~info-needed|triage-needed|info-needed
303181,2,0,1,0,,0,duplicate
